P09331	P09332	44.000	250	117	6	6	251	5	235	1.76e-64	199
P09331	Q08370	36.842	38	23	1	151	187	237	274	1.5	25.8
P09331	B5AGT2	28.571	77	47	4	40	109	315	390	3.5	24.6
P09331	Q9Z3F4	40.000	25	14	1	218	241	210	234	4.1	24.3
P09331	P55711	34.375	32	21	0	40	71	279	310	4.9	24.3
Q9X721	P43153	43.563	1134	581	18	1	1112	1	1097	0.0	891
Q9X721	P43153	22.892	166	121	3	837	1000	942	1102	1.05e-06	48.5
Q9X721	P43154	47.727	88	46	0	792	879	604	691	4.10e-17	82.0
Q9X721	P43154	23.009	565	365	21	84	619	38	561	1.96e-12	67.0
Q9X721	Q8D4Y9	22.609	460	297	18	131	561	41	470	9.54e-10	58.2
Q9X721	Q8VPK4	44.444	27	15	0	360	386	350	376	0.35	30.4
Q9X721	NP_819427_1	26.812	138	89	4	249	380	144	275	0.68	29.3
Q46085	P43153	42.914	1009	524	16	45	1007	90	1092	0.0	758
Q46085	P43153	38.605	215	124	6	810	1019	768	979	1.51e-31	129
Q46085	P43154	41.818	110	58	1	724	833	606	709	3.50e-17	82.0
Q46085	P43154	34.066	91	59	1	809	899	602	691	4.83e-11	62.0
Q46085	P43154	30.097	103	59	4	400	494	415	512	1.97e-05	43.9
Q46085	P43154	23.256	129	92	2	24	151	53	175	1.5	28.1
Q46085	Q8D4Y9	21.927	301	176	15	235	491	183	468	1.24e-05	44.7
Q46085	YP_001199348_1	26.230	122	68	4	329	430	775	894	1.2	28.5
Q46085	P09332	30.380	79	45	4	438	513	25	96	2.9	26.6
Q9KRJ0	Q8D4Y9	66.625	809	253	6	12	817	12	806	0.0	1118
Q9KRJ0	P43154	31.091	550	360	12	27	569	74	611	6.34e-75	256
Q9KRJ0	P43153	21.206	514	334	20	103	573	165	650	2.25e-08	53.1
Q9KRJ0	P43153	23.810	168	86	7	577	727	858	1000	0.59	28.9
Q9KRJ0	Q5ZWG1	22.581	62	48	0	152	213	27	88	0.46	28.5
Q9KRJ0	NP_819566_1	23.214	56	41	1	621	674	158	213	1.9	26.9
P81177	P0C0Q4	71.850	508	142	1	1	508	1	507	0.0	768
P81177	Q59223	43.048	374	177	8	166	508	177	545	4.02e-82	261
P81177	P14756	30.833	240	139	9	277	508	272	492	6.26e-22	94.4
P81177	Q9Z877	30.508	59	39	1	200	258	120	176	0.36	28.9
P81177	A0KHZ7	23.704	135	79	5	283	404	4304	4427	1.1	27.3
P0C0Q3	P0C0Q4	98.422	507	8	0	1	507	1	507	0.0	1025
